Account_Number;Account_Type;Account_Name;Account_Address;City;State_Code;FA_Code
201;Single;Calvin Cleveland;4267 Milpas Street;Lincoln;OR;DE01
515;Joint;Franklin Nixon;2145 San Luis Obispo North;Montpelier;OK;DA01
719;Joint;Benjamin Quincy;9381 Burnett Road;Madison;AL;SE03
807;Trust;Woodrow Hoover;7146 Fairview Avenue;Lansing;TX;PX01
1366;Trust;Abraham Roosevelt;2078 N Kentwood;Columbus;SD;OK06
1378;Joint;Franklin Eisenhower;666 Santa Monica Road;Albany;DE;SL07
1503;401K;Theodore Tyler;9783 Monroe Street;Boston;OH;LA01
1585;Single;Martin Nixon;2773 Fairview Avenue;Denver;AK;LA01
1622;Trust;Gerald Taylor;1697 Padre Boulevard;Augusta;MO;DE07
1716;Trust;Rutherford Monroe;2653 Timberlane Drive;Providence;ND;LA07
1744;Joint;Grover Jefferson;8834 W. Russell St.;Providence;IA;LA01
1792;Single;Bill Cleveland;6893 East Main Street;Montgomery;NM;OK02
1959;Joint;John Adams;4821 Greenwood Road;Saint Paul;AR;AU07
2006;Roth IRA;Millard Madison;2961 Santa Monica Road;Concord;AL;SE01
2155;401K;Ulysses Adams;8777 North Erringer Road;Cheyenne;NM;MN05
2301;Joint;James Arthur;954 Carpinteria South;Sacramento;VA;PX08
2356;Joint;Richard Taft;5477 Monroe Street;Boston;UT;SE01
2359;Single;Richard Roosevelt;119 Katella Avenue;Topeka;VA;DT04
2417;Single;Ulysses Carter;8503 El Camino Real;Raleigh;ME;LA01
2472;Roth IRA;George Garfield;9285 San Diego Freeway;Atlanta;MT;BO04
2482;Single;Dwight Harrison;8416 S Rustle St;Sacramento;CA;OK05
2534;Single;Woodrow Jefferson;654 Burnett Road;Austin;MI;MN05
2637;Roth IRA;Calvin Hoover;1423 North Atherton Street;Jackson;NJ;OK02
2653;Joint;Rutherford Garfield;2950 Castillo Drive;Madison;KS;SE01
2710;Roth IRA;John Eisenhower;6309 Santa Rosa North;Helena;WI;AU04
2813;Roth IRA;William Harding;1366 Richmond Hill;Jackson;WI;NO08
2965;401K;Bill Taft;1663 Bayshore Freeway;Salt Lake City;MT;IN05
3355;Single;Herbert Reagan;781 South Roosevelt Drive;Oklahoma City;SC;MD03
3413;Joint;Theodore Taylor;4262 San Diego Freeway;Concord;DE;DE09
3631;Trust;Millard Johnson;450 Newbury Road;Columbia;AL;PX01
3751;Roth IRA;Warren Hoover;331 Harbor Dr;Dover;OH;PO01
3937;Single;James Van Buren;8346 Via Real;Oklahoma City;OH;VE04
4241;Joint;James Carter;568 Fairview Avenue;Concord;CT;DA06
4279;Trust;Zachary McKinley;1004 San Diego Freeway;Lincoln;ND;NO02
4353;IRA;George Quincy;4442 Corona Del Mar;Little Rock;CT;SE01
4608;Joint;Harry Adams;8630 North Preisker Lane;Springfield;SC;CH08
4674;Joint;Dwight Carter;5366 Fairview Avenue;Harrisburg;RI;LA04
4816;Joint;Thomas Roosevelt;9713 Lake Tahoe Blvd.;Montpelier;TN;VE04
4858;IRA;Rutherford Wilson;4105 Lake Tahoe Blvd.;Salem;WA;LA09
4860;Joint;Ronald Monroe;1810 N Kentwood;Harrisburg;WV;NO01
4982;Roth IRA;Benjamin Reagan;5409 Harbor Dr;Baton Rouge;OK;MI01
5439;401K;Woodrow Harrison;2601 Tully Road East;Boston;MA;NO09
5490;401K;Benjamin Hayes;7241 Westside Freeway;Jefferson City;CO;DA01
5552;IRA;Dwight Fillmore;7625 Richmond Hill;Phoenix;MN;NV01
5595;401K;John Taft;8583 Santa Monica Road;Dover;NC;NV01
5606;Trust;Ulysses Garfield;9556 El Camino Real;Jackson;UT;CL06
5657;Roth IRA;Grover McKinley;7801 North Ventu Park Road;Tallahassee;DE;SE06
5816;Joint;Dwight Polk;3671 El Camino Real;Columbia;UT;PO05
5901;Trust;Andrew Harrison;9622 East 1st Street;Jefferson City;IA;NV07
5909;Roth IRA;James McKinley;7531 Castillo Drive;Topeka;NV;LA01
6077;Roth IRA;Warren Johnson;4508 Bailard Avenue;Hartford;MS;PO08
6087;Roth IRA;Gerald Harding;3160 Corona Del Mar;Madison;VT;PX01
6092;401K;Woodrow Taft;144 Redwood Highway;Harrisburg;TN;LA01
6106;401K;Martin Quincy;2434 Grandview Drive;Helena;VA;DA06
6270;Roth IRA;George Polk;450 Steele Lane;Denver;CT;BO05
6394;401K;John Hoover;5311 Santa Rosa North;Annapolis;MA;PO01
6884;Roth IRA;Gerald Pierce;2126 Bailard Avenue;Frankfort;NH;BO04
6909;Trust;Harry Garfield;3306 North Ventu Park Road;Denver;MD;MI04
7121;Joint;Woodrow Polk;978 East Calle Primera;Columbus;MO;OK08
7182;Single;Richard Grant;2495 East Main Street;Dover;AZ;BO01
7392;Trust;Herbert Cleveland;9411 Fontaine Road;Dover;SD;NY01
7727;Roth IRA;Warren Nixon;7549 W. Russell St.;Providence;CA;NV06
7925;Roth IRA;James McKinley;5563 San Luis Obispo North;Boston;CO;LA03
8040;Joint;Franklin Coolidge;9798 Katella Avenue;Columbia;TN;DA08
8486;Roth IRA;Richard Adams;8805 Via Real;Nashville;MA;LA01
8548;Single;Woodrow Adams;2909 East Fry Blvd.;Olympia;WV;MN04
8582;401K;Andrew Harrison;2143 Tanger Blvd;Albany;MI;NO08
8618;Trust;Richard Johnson;5717 Tanger Blvd;Augusta;ME;VE02
8736;Single;John Polk;6765 Corona Del Mar;Phoenix;PA;DA01
8782;Roth IRA;Woodrow Monroe;2186 Lake Tahoe Blvd.;Trenton;TN;SE02
9063;Single;Martin Nixon;117 Santa Ana Freeway;Lansing;TX;AU01
9185;401K;Jimmy Ford;3096 Jones Road;Harrisburg;FL;NY03
9262;Roth IRA;William Grant;7253 East Calle Primera;Carson City;SC;NO01
9602;IRA;Ulysses Carter;2552 Cleveland Ave.;Albany;UT;DE05
9732;Joint;Bill Fillmore;5914 Carpinteria Avenue;Bismarck;CA;LA01
9852;Roth IRA;George Quincy;6570 Hutchinson Rd;Concord;UT;BO02
9863;Roth IRA;Franklin Carter;3513 Pacific Hwy S;Jefferson City;MO;AU01
10057;IRA;Richard Wilson;2555 Harry S Truman Blvd;Madison;TN;CL01
10172;Single;Andrew Monroe;8108 Westside Freeway;Harrisburg;MI;CH03
10319;Trust;Lyndon Roosevelt;5650 Santa Rosa South;Helena;VA;DA04
10361;401K;Theodore Quincy;2940 Pacific Hwy S;Denver;WA;DE01
10492;Single;William Ford;1785 Lake Tahoe Blvd.;Santa Fe;OH;DA01
10522;IRA;Jimmy Tyler;6387 El Camino Real;Boston;CA;OK07
10592;Trust;Jimmy Buchanan;8872 South Roosevelt Drive;Trenton;OK;PX05
10615;Joint;Calvin Roosevelt;3794 San Simeon;Austin;OH;LA01
10661;Single;Thomas Tyler;511 S Rustle St;Boston;HI;MI03
10679;401K;Lyndon Carter;9088 Timberlane Drive;Madison;MT;SL01
10747;IRA;Gerald Taft;4357 Monroe Street;Harrisburg;WA;CL08
10856;401K;Theodore Quincy;6832 Greenwood Road;Salt Lake City;SD;NO01
10915;Single;Chester Clinton;3505 Hutchinson Rd;Denver;NH;PX01
10961;401K;Millard Coolidge;9000 Greenwood Road;Honolulu;PA;DA04
10977;Single;Gerald Harding;6217 Redwood Highway;Santa Fe;CO;DA04
11176;401K;Theodore Polk;8213 Newbury Road;Sacramento;RI;SE02
11446;Roth IRA;Harry Adams;2154 Steele Lane;Charleston;IL;VE05
11650;Trust;Ulysses Hayes;6461 Hutchinson Rd;Honolulu;FL;SE09
11682;401K;Woodrow McKinley;5993 East Main Street;Springfield;CT;PO01
11883;Roth IRA;Rutherford Hoover;913 Castillo Drive;Topeka;AK;BO09
11902;Joint;Rutherford Garfield;326 N Harrison St;Columbia;PA;MI01
12058;Single;Gerald Wilson;8698 Carpinteria Avenue;Providence;WA;DT01
12071;Single;Woodrow Harrison;9542 Corona Del Mar;Columbus;OK;DT01
12191;IRA;William Adams;6722 Padre Boulevard;Santa Fe;OH;CH01
12228;Roth IRA;Ulysses Nixon;9803 South Highway;Juneau;MI;OK03
12509;401K;Lyndon Adams;5752 South Roosevelt Drive;Cheyenne;KS;LA06
12583;Joint;John Adams;8113 South Highway;Trenton;LA;CL05
12638;Single;Gerald Reagan;6135 E Fowler Avenue;Sacramento;OK;PX02
13149;Single;John Garfield;7294 Newbury Road;Denver;NV;SE01
13279;Joint;Dwight Reagan;6089 Santa Monica Road;Harrisburg;IL;MD08
13393;Joint;Millard Truman;2410 S Rustle St;Austin;KS;SL03
13489;Single;Harry Monroe;7247 N Kentwood;Santa Fe;KY;NY01
13492;Trust;Franklin Harrison;9756 E Fowler Avenue;Albany;KS;OK05
13543;Roth IRA;Grover Clinton;2285 Hutchinson Rd;Boise;LA;MD03
13735;401K;James Jackson;8820 Westside Freeway;Lansing;AR;DE06
13752;Single;Chester Hoover;1993 Calle Real;Springfield;WV;NO01
13836;Joint;Andrew Truman;8359 Bowles Avenue;Helena;ME;LA07
14032;Joint;Herbert Washington;7866 W. Russell St.;Pierre;SC;BO06
14104;IRA;Calvin Monroe;6072 North Atherton Street;Boise;TN;DA01
14108;401K;Bill Quincy;9073 North Preisker Lane;Hartford;AZ;PO01
14162;Roth IRA;Calvin Coolidge;6334 Padre Boulevard;Springfield;MA;NO05
14212;Single;Harry Washington;766 Fairview Avenue;Phoenix;CT;LA01
14222;Joint;Lyndon Kennedy;5088 San Simeon;Saint Paul;AZ;LA01
14294;Roth IRA;Chester Garfield;1581 Cerrillos Road;Olympia;VT;LA01
14394;401K;Zachary Nixon;5131 North Ventu Park Road;Springfield;ME;NY01
14525;401K;Ulysses Johnson;1121 Tanger Blvd;Baton Rouge;GA;OK06
14644;Roth IRA;Lyndon Madison;319 San Marcos;Carson City;MO;DA02
14898;Single;Woodrow Arthur;3785 Santa Rosa South;Oklahoma City;TX;DE05
14934;Single;Grover Harding;2203 Lake Tahoe Blvd.;Bismarck;KS;DA01
15068;IRA;Thomas Monroe;2199 South Highway;Trenton;NC;VE04
15115;Roth IRA;Richard Hoover;8628 Apalachee Parkway;Lincoln;NJ;PO01
15192;401K;Millard Reagan;5933 Bowles Avenue;Des Moines;MN;NO01
15313;401K;Andrew Coolidge;9362 Via Real;Augusta;VA;SL07
15321;Joint;Richard Buchanan;8945 Santa Monica Road;Hartford;MA;NY01
15436;IRA;Grover Hayes;2870 Richmond Hill;Salem;MD;NY01
15445;Roth IRA;Chester Ford;8108 S Rustle St;Cheyenne;AZ;NY07
15533;Roth IRA;Ronald Pierce;8329 Castillo Drive;Lincoln;WI;DT07
15749;Joint;Rutherford Carter;85 East Calle Primera;Raleigh;AL;PX06
15922;401K;James Quincy;8248 Pacific Hwy S;Des Moines;TX;IN04
16016;Joint;Richard Lincoln;6268 N Kentwood;Dover;ID;PO01
16184;IRA;Chester Coolidge;5817 S Rustle St;Springfield;CO;PO09
16198;Roth IRA;Millard Hayes;8701 Santa Rosa South;Nashville;FL;PO01
16202;Joint;Gerald Roosevelt;558 Cleveland Ave.;Madison;NM;LA06
16421;401K;Gerald Roosevelt;357 Timberlane Drive;Charleston;CT;MI09
16422;IRA;Dwight Hoover;117 W. Russell St.;Salt Lake City;NM;SE07
16427;IRA;Woodrow Garfield;1528 Bowles Avenue;Helena;LA;CL02
16430;Joint;Calvin Adams;7443 Pacific Hwy S;Providence;NJ;PX01
16436;Single;Jimmy Grant;6808 Apalachee Parkway;Juneau;VA;NO01
16531;Joint;Grover Cleveland;3038 Carpinteria Avenue;Madison;GA;VE06
16683;Roth IRA;George Polk;8445 Woodson Rd.;Richmond;SD;LA01
16744;Single;Harry Harrison;6833 Pacific Hwy S;Lansing;CO;AU08
16755;Joint;James Taft;2929 E Fowler Avenue;Pierre;HI;SL01
16846;Roth IRA;Thomas Tyler;8981 El Camino Real;Albany;TX;CL09
16940;Joint;Millard Ford;2924 Santa Rosa North;Little Rock;MA;NY01
16977;401K;Thomas Carter;1885 North Preisker Lane;Olympia;SC;PO06
17030;Joint;Thomas Tyler;7961 Burnett Road;Carson City;OR;SE06
17050;Trust;Warren Cleveland;5429 San Diego Freeway;Trenton;AZ;BO08
17126;Single;Dwight Pierce;5902 Calle Real;Frankfort;CA;PO08
17133;Single;Grover Polk;1810 Bayshore Freeway;Concord;CO;OK02
17170;Joint;Andrew Wilson;6526 Lindbergh Blvd;Sacramento;KS;SL09
17459;IRA;George Grant;5499 Milpas Street;Charleston;DE;OK01
17477;Trust;Ronald Truman;2796 South Highway;Montpelier;NM;DE06
17492;Trust;Theodore Garfield;1862 Santa Ana Freeway;Annapolis;ME;DE03
17544;IRA;Herbert Grant;7464 N Kentwood;Honolulu;KY;DE08
17651;Trust;Woodrow Hoover;3796 E Fowler Avenue;Jefferson City;NM;SE01
17905;IRA;Herbert Adams;2087 San Ysidro Blvd;Denver;MI;BO08
17999;Single;Ulysses Buchanan;9361 Fontaine Road;Boise;NM;NO03
18092;Single;Franklin Nixon;4466 Cabrillo Highway;Montpelier;SD;AU02
18139;401K;Theodore Monroe;2987 Milpas Street;Lincoln;PA;NO01
18148;Roth IRA;Thomas Fillmore;6310 Carpinteria North;Bismarck;MA;CL09
18172;Single;Richard Madison;5796 Lindbergh Blvd;Hartford;WA;LA01
18254;Trust;Theodore Jefferson;2042 North Preisker Lane;Phoenix;RI;MI01
18265;IRA;Richard Polk;6918 Tanger Blvd;Hartford;AZ;DA06
18487;401K;Lyndon Pierce;4751 Calle Real;Dover;NC;CL05
18950;Roth IRA;George Lincoln;287 Erringer Road;Pierre;WY;NO03
18952;Trust;William Truman;3467 Katella Avenue;Harrisburg;NE;CH01
19018;IRA;Benjamin Carter;6171 Santa Ana Freeway;Montpelier;CT;DE08
19065;Trust;Rutherford Hayes;9763 Fontaine Road;Columbia;MD;DT01
19159;IRA;John Arthur;9692 Calle Real;Montpelier;SD;BO01
19199;Joint;George Roosevelt;2011 Grandview Drive;Pierre;NJ;DE04
19272;Single;Herbert Pierce;2642 Katella Avenue;Indianapolis;KY;LA09
19363;401K;Lyndon Jackson;6017 Burnett Road;Lansing;WV;PO04
19444;IRA;Thomas Fillmore;3909 E Fowler Avenue;Baton Rouge;MT;CL06
19609;Roth IRA;Woodrow Johnson;8424 Apalachee Parkway;Trenton;KS;NY09
19678;401K;Harry Johnson;4291 Santa Rosa South;Albany;LA;SE01
19742;Trust;Lyndon Fillmore;3400 San Luis Obispo North;Madison;WA;IN01
19849;Single;Richard Washington;8046 Lawrenceville Suwanee;Springfield;MS;SE01
20230;Trust;Chester Monroe;9342 French Camp Turnpike Road;Saint Paul;IA;PX09
20256;Joint;Ronald Monroe;9949 Moreno Drive;Columbus;NJ;DA05
20317;Single;Richard Johnson;1695 San Simeon;Springfield;MN;DA01
20496;401K;Abraham Ford;2151 Erringer Road;Boston;UT;OK01
20566;Joint;Bill Buchanan;5665 Carpinteria North;Albany;PA;IN02
20753;Joint;Gerald Madison;4935 San Luis Obispo North;Raleigh;UT;OK06
20937;401K;Woodrow Ford;9181 Santa Rosa North;Pierre;ME;PX01
21094;Joint;Rutherford Jefferson;6270 North Preisker Lane;Annapolis;DE;CL05
21107;IRA;Ronald Washington;986 Castillo Drive;Salt Lake City;OR;LA04
21357;IRA;Ulysses Roosevelt;9500 North Preisker Lane;Phoenix;OH;MI03
21500;Single;Bill Fillmore;5221 Katella Avenue;Raleigh;CT;NO01
21602;Single;Andrew Buchanan;5988 Cerrillos Road;Trenton;WI;PO01
21717;IRA;Thomas Buchanan;729 Bayshore Freeway;Indianapolis;NY;CH01
21747;401K;Andrew Wilson;3056 Santa Monica Road;Boston;MD;AU03
21782;Joint;John Jackson;6267 Newbury Road;Columbus;PA;BO01
21809;401K;Theodore Taft;5805 East Main Street;Columbia;LA;AU09
22012;Joint;Lyndon Quincy;5721 South Highway;Augusta;CA;NV01
22131;Single;Woodrow Lincoln;2366 North Ventu Park Road;Salt Lake City;CA;DA01
22136;IRA;Martin Van Buren;8026 San Luis Obispo North;Charleston;MT;DE01
22195;Joint;Grover Ford;273 Carpinteria Avenue;Atlanta;CA;NY01
22247;Single;Thomas Johnson;8588 Richmond Hill;Boston;ME;PX01
22428;Joint;William Arthur;4597 Santa Monica Road;Helena;MS;NO01
22545;Roth IRA;Gerald Hoover;2006 Harbor Dr;Boise;AR;SE01
22580;Joint;Lyndon Carter;8011 Erringer Road;Phoenix;SC;AU01
22581;Single;Thomas McKinley;3959 Santa Rosa South;Frankfort;AK;PX05
22810;401K;Ulysses Ford;933 Lawrenceville Suwanee;Trenton;MI;PO06
22846;Joint;Andrew Washington;4180 Grandview Drive;Helena;AZ;SE01
22858;Single;Millard Garfield;2853 Bowles Avenue;Des Moines;AL;OK04
22902;401K;Harry Wilson;4300 Santa Rosa North;Charleston;KS;PO01
22939;IRA;Ulysses Buchanan;3933 Santa Monica Road;Dover;TN;LA02
23062;Trust;Grover Fillmore;9305 San Marcos;Boston;MD;PX03
23298;Roth IRA;Richard Eisenhower;8127 Jones Road;Lansing;MN;CH06
23329;IRA;George Jackson;3624 Fairview Avenue;Lansing;IL;BO03
23412;Joint;James Johnson;6392 Grandview Drive;Columbus;AZ;PX08
23491;Single;William McKinley;1554 San Luis Obispo North;Boise;CO;VE02
23548;IRA;William Arthur;4759 Grandview Drive;Oklahoma City;IN;DE01
23701;Single;William Washington;575 Tanger Blvd;Jackson;WA;NO05
23767;Roth IRA;Thomas Harrison;4492 Redwood Highway;Salem;CA;MD01
23796;Trust;Woodrow Eisenhower;4653 Redwood Highway;Charleston;CT;NY01
23814;Joint;Dwight Clinton;2134 W. Russell St.;Madison;NC;DT05
23965;Single;Herbert McKinley;1327 Steele Lane;Indianapolis;OH;DT05
23999;IRA;Chester Johnson;4879 Carpinteria Avenue;Honolulu;WA;NV06
24000;401K;James Quincy;7769 Padre Boulevard;Austin;MT;SL01
24075;Single;Martin Reagan;3948 Harbor Dr;Providence;NY;DA08
24100;Trust;Grover Madison;7685 San Marcos;Topeka;MO;OK07
24137;Trust;Thomas Eisenhower;6238 Richmond Hill;Albany;VA;BO01
24154;IRA;Richard Adams;396 Tully Road East;Helena;KY;VE08
24276;Trust;Gerald Arthur;8763 East Main Street;Boston;SC;DE03
24614;Joint;Harry Coolidge;5756 East Main Street;Little Rock;ND;MI01
24617;401K;Andrew Ford;8068 Milpas Street;Tallahassee;VT;PO08
24754;Trust;Calvin Harding;196 Corona Del Mar;Jackson;SD;CH01
24940;Trust;Abraham Quincy;9041 Santa Monica Road;Bismarck;DE;CL07
24956;Joint;George Tyler;5356 Burnett Road;Cheyenne;PA;NV01
25052;Trust;Richard Roosevelt;2968 North Atherton Street;Jefferson City;VA;PX01
25127;401K;Harry Ford;1022 Hutchinson Rd;Dover;OK;DA07
25189;Roth IRA;Gerald Fillmore;5703 Corona Del Mar;Oklahoma City;CA;DE01
25325;Roth IRA;Bill Adams;5754 North Atherton Street;Des Moines;NH;BO08
25330;Roth IRA;William Grant;1734 San Marcos;Santa Fe;AK;AU02
25464;IRA;Ulysses Roosevelt;7804 French Camp Turnpike Road;Atlanta;TX;SE01
25589;Joint;Rutherford Fillmore;4955 Santa Rosa South;Bismarck;HI;NV09
25805;IRA;Richard Johnson;8363 Lindbergh Blvd;Bismarck;NC;LA01
25882;401K;Bill Van Buren;2359 East Main Street;Lansing;MS;PX01
25890;Joint;James Arthur;3663 Bayshore Freeway;Raleigh;NJ;DT01
25965;401K;Martin Kennedy;8512 San Simeon;Albany;ND;OK07
26108;IRA;George Garfield;3709 Jean de la Fontaine;Carson City;SC;BO01
26587;Roth IRA;Herbert Adams;7467 Jean de la Fontaine;Boston;LA;LA01
26683;401K;Zachary Van Buren;678 Bayshore Freeway;Albany;AL;MN09
26795;401K;Jimmy Coolidge;9227 El Camino Real;Baton Rouge;TN;SE07
26996;Trust;Harry McKinley;159 Moreno Drive;Denver;OR;PO01
27056;Joint;Herbert Hayes;5417 Erringer Road;Jackson;MA;CH07
27115;Trust;William Grant;9053 Grandview Drive;Des Moines;WA;OK06
27116;Roth IRA;Bill Madison;9994 Richmond Hill;Juneau;MD;AU04
27660;Single;Bill Arthur;89 Via Real;Hartford;MI;CH01
27691;401K;Grover Harding;1821 Redwood Highway;Montpelier;SD;MN06
27791;IRA;George Pierce;3205 North Atherton Street;Jefferson City;AZ;NY03
27815;401K;John Grant;4273 Redwood Highway;Atlanta;RI;IN03
27836;Trust;Theodore Roosevelt;6105 Burnett Road;Indianapolis;NY;PO05
27856;Trust;Gerald Cleveland;4207 Newbury Road;Juneau;RI;MI07
27963;Joint;Harry Van Buren;8983 Erringer Road;Richmond;OR;MI07
28028;Trust;Harry Truman;39 San Diego Freeway;Columbus;NJ;SL01
28071;Single;Dwight Madison;2278 East Calle Primera;Richmond;MN;MI06
28099;Roth IRA;James Monroe;6747 Moreno Drive;Jackson;TX;DT01
28101;Roth IRA;Ronald Polk;8409 Carpinteria Avenue;Sacramento;OH;NV03
28170;Roth IRA;Andrew Madison;7176 San Simeon;Austin;AK;NY07
